subcategory,verbalist_7b_v7_checkpoint-7000_flash_ru
abstract_algebra,26.0
anatomy,36.2962962962963
astronomy,32.89473684210527
business_ethics,34.0
clinical_knowledge,36.22641509433962
college_biology,29.166666666666668
college_chemistry,28.999999999999996
college_computer_science,28.999999999999996
college_mathematics,26.0
college_medicine,29.47976878612717
college_physics,14.705882352941178
computer_security,37.0
conceptual_physics,35.319148936170215
econometrics,28.947368421052634
electrical_engineering,38.62068965517241
elementary_mathematics,28.306878306878307
formal_logic,28.57142857142857
global_facts,28.000000000000004
high_school_biology,33.87096774193548
high_school_chemistry,29.55665024630542
high_school_computer_science,31.0
high_school_european_history,43.63636363636363
high_school_geography,36.36363636363637
high_school_government_and_politics,29.015544041450774
high_school_macroeconomics,28.717948717948715
high_school_mathematics,23.333333333333332
high_school_microeconomics,30.252100840336134
high_school_physics,29.80132450331126
high_school_psychology,31.009174311926607
high_school_statistics,24.074074074074073
high_school_us_history,40.19607843137255
high_school_world_history,43.037974683544306
human_aging,33.6322869955157
human_sexuality,30.53435114503817
international_law,49.586776859504134
jurisprudence,33.33333333333333
logical_fallacies,34.96932515337423
machine_learning,28.57142857142857
management,30.097087378640776
marketing,41.88034188034188
medical_genetics,38.0
miscellaneous,41.89016602809706
moral_disputes,38.4393063583815
moral_scenarios,25.251396648044693
nutrition,34.64052287581699
philosophy,38.58520900321543
prehistory,34.876543209876544
professional_accounting,29.78723404255319
professional_law,29.139504563233377
professional_medicine,29.044117647058826
professional_psychology,30.22875816993464
public_relations,41.81818181818181
security_studies,26.53061224489796
sociology,37.3134328358209
us_foreign_policy,43.0
virology,30.72289156626506
world_religions,39.1812865497076
