subcategory,mistral-open-orca-ru-4600-step_ru
abstract_algebra,28.999999999999996
anatomy,43.7037037037037
astronomy,44.07894736842105
business_ethics,44.0
clinical_knowledge,45.660377358490564
college_biology,41.66666666666667
college_chemistry,43.0
college_computer_science,40.0
college_mathematics,35.0
college_medicine,46.24277456647399
college_physics,26.47058823529412
computer_security,41.0
conceptual_physics,34.8936170212766
econometrics,34.21052631578947
electrical_engineering,48.96551724137931
elementary_mathematics,37.56613756613756
formal_logic,25.396825396825395
global_facts,33.0
high_school_biology,47.41935483870968
high_school_chemistry,43.34975369458128
high_school_computer_science,52.0
high_school_european_history,58.18181818181818
high_school_geography,52.02020202020202
high_school_government_and_politics,51.813471502590666
high_school_macroeconomics,39.743589743589745
high_school_mathematics,24.814814814814813
high_school_microeconomics,44.11764705882353
high_school_physics,27.1523178807947
high_school_psychology,44.95412844036697
high_school_statistics,43.05555555555556
high_school_us_history,55.88235294117647
high_school_world_history,64.13502109704642
human_aging,48.87892376681614
human_sexuality,45.80152671755725
international_law,62.8099173553719
jurisprudence,44.44444444444444
logical_fallacies,31.28834355828221
machine_learning,33.035714285714285
management,53.398058252427184
marketing,50.85470085470085
medical_genetics,40.0
miscellaneous,51.59642401021711
moral_disputes,41.040462427745666
moral_scenarios,24.804469273743017
nutrition,51.633986928104584
philosophy,44.69453376205787
prehistory,44.44444444444444
professional_accounting,30.141843971631204
professional_law,35.20208604954368
professional_medicine,42.64705882352941
professional_psychology,37.908496732026144
public_relations,48.18181818181818
security_studies,42.857142857142854
sociology,47.2636815920398
us_foreign_policy,63.0
virology,32.53012048192771
world_religions,60.23391812865497
